family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,2,1480
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,3,1641
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,4,64
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,5,31
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,6,275
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,7,120
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,8,61
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,9,19
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,10,19
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,11,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,12,42
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,13,38
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,14,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,15,25
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,16,19
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,17,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,18,35
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,19,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,20,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,21,19
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,22,26
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,23,36
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,24,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,25,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,26,25
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,27,22
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,28,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,29,24
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,30,26
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,31,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,32,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,33,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,34,19
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,35,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,36,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,37,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,38,24
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,39,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,40,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,41,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,42,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,43,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,44,26
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,45,23
