index,family,parameter_name,parameter_value,alpha,episode,mean,median,std_steps
202,n_step_sarsa,n,10.000,0.500,3,608.000,577.000,533.176
203,n_step_sarsa,n,10.000,0.500,4,364.667,68.000,514.708
204,n_step_sarsa,n,10.000,0.500,5,500.333,345.000,492.719
205,n_step_sarsa,n,10.000,0.500,6,123.333,81.000,99.500
206,n_step_sarsa,n,10.000,0.500,7,64.333,45.000,55.582
207,n_step_sarsa,n,10.000,0.500,8,59.000,37.000,51.643
208,n_step_sarsa,n,10.000,0.500,9,53.000,33.000,45.431
209,n_step_sarsa,n,10.000,0.500,10,21.667,20.000,3.786
210,n_step_sarsa,n,10.000,0.500,11,61.333,39.000,53.144
211,n_step_sarsa,n,10.000,0.500,12,20.000,19.000,2.646
212,n_step_sarsa,n,10.000,0.500,13,32.667,34.000,4.163
213,n_step_sarsa,n,10.000,0.500,14,25.000,19.000,11.269
214,n_step_sarsa,n,10.000,0.500,15,21.333,22.000,2.082
215,n_step_sarsa,n,10.000,0.500,16,37.333,40.000,18.148
216,n_step_sarsa,n,10.000,0.500,17,64.333,22.000,76.814
217,n_step_sarsa,n,10.000,0.500,18,20.000,20.000,1.000
218,n_step_sarsa,n,10.000,0.500,19,54.000,30.000,51.391
219,n_step_sarsa,n,10.000,0.500,20,33.667,20.000,24.542
220,n_step_sarsa,n,10.000,0.500,21,23.667,22.000,4.726
221,n_step_sarsa,n,10.000,0.500,22,34.333,33.000,16.042
222,n_step_sarsa,n,10.000,0.500,23,34.333,36.000,12.583
223,n_step_sarsa,n,10.000,0.500,24,37.333,23.000,28.361
224,n_step_sarsa,n,10.000,0.500,25,33.333,36.000,8.327
225,n_step_sarsa,n,10.000,0.500,26,25.000,24.000,5.568
226,n_step_sarsa,n,10.000,0.500,27,27.333,30.000,7.371
227,n_step_sarsa,n,10.000,0.500,28,46.667,35.000,34.034
228,n_step_sarsa,n,10.000,0.500,29,24.000,22.000,7.211
229,n_step_sarsa,n,10.000,0.500,30,24.667,21.000,7.234
230,n_step_sarsa,n,10.000,0.500,31,23.667,23.000,6.028
231,n_step_sarsa,n,10.000,0.500,32,20.333,21.000,1.155
232,n_step_sarsa,n,10.000,0.500,33,22.000,20.000,5.292
233,n_step_sarsa,n,10.000,0.500,34,25.667,20.000,10.693
234,n_step_sarsa,n,10.000,0.500,35,20.667,19.000,3.786
235,n_step_sarsa,n,10.000,0.500,36,29.000,20.000,17.349
236,n_step_sarsa,n,10.000,0.500,37,35.333,20.000,27.429
237,n_step_sarsa,n,10.000,0.500,38,43.000,22.000,39.887
238,n_step_sarsa,n,10.000,0.500,39,58.333,41.000,50.292
239,n_step_sarsa,n,10.000,0.500,40,23.667,24.000,3.512
240,n_step_sarsa,n,10.000,0.500,41,30.000,33.000,9.849
241,n_step_sarsa,n,10.000,0.500,42,24.000,22.000,6.245
242,n_step_sarsa,n,10.000,0.500,43,20.000,19.000,1.732
243,n_step_sarsa,n,10.000,0.500,44,24.000,25.000,4.583
244,n_step_sarsa,n,10.000,0.500,45,26.000,23.000,6.083
245,n_step_sarsa,n,10.000,0.500,46,27.667,29.000,5.132
246,n_step_sarsa,n,10.000,0.500,47,21.000,22.000,1.732
247,n_step_sarsa,n,10.000,0.500,48,29.333,24.000,11.015
248,n_step_sarsa,n,10.000,0.500,49,20.667,22.000,2.309
249,n_step_sarsa,n,10.000,0.500,50,30.667,20.000,20.232
250,n_step_sarsa,n,10.000,0.500,51,27.333,26.000,3.215
251,n_step_sarsa,n,10.000,0.500,52,32.667,36.000,12.342
252,n_step_sarsa,n,10.000,0.500,53,26.333,27.000,7.024
253,n_step_sarsa,n,10.000,0.500,54,34.333,38.000,14.844
254,n_step_sarsa,n,10.000,0.500,55,31.667,22.000,19.399
255,n_step_sarsa,n,10.000,0.500,56,22.333,19.000,6.658
256,n_step_sarsa,n,10.000,0.500,57,27.667,29.000,8.083
257,n_step_sarsa,n,10.000,0.500,58,43.333,43.000,13.503
258,n_step_sarsa,n,10.000,0.500,59,40.667,38.000,6.429
259,n_step_sarsa,n,10.000,0.500,60,35.667,34.000,7.638
260,n_step_sarsa,n,10.000,0.500,61,26.333,30.000,7.234
261,n_step_sarsa,n,10.000,0.500,62,20.000,19.000,2.646
262,n_step_sarsa,n,10.000,0.500,63,22.000,20.000,3.464
263,n_step_sarsa,n,10.000,0.500,64,46.000,43.000,13.748
264,n_step_sarsa,n,10.000,0.500,65,31.333,30.000,10.066
265,n_step_sarsa,n,10.000,0.500,66,23.667,18.000,9.815
266,n_step_sarsa,n,10.000,0.500,67,20.000,19.000,2.646
267,n_step_sarsa,n,10.000,0.500,68,25.333,22.000,9.452
268,n_step_sarsa,n,10.000,0.500,69,33.000,34.000,13.528
269,n_step_sarsa,n,10.000,0.500,70,55.333,53.000,36.556
270,n_step_sarsa,n,10.000,0.500,71,39.667,45.000,18.583
271,n_step_sarsa,n,10.000,0.500,72,32.333,24.000,19.858
272,n_step_sarsa,n,10.000,0.500,73,29.667,22.000,15.044
273,n_step_sarsa,n,10.000,0.500,74,23.333,20.000,6.658
274,n_step_sarsa,n,10.000,0.500,75,39.000,22.000,31.193
275,n_step_sarsa,n,10.000,0.500,76,44.333,40.000,18.877
276,n_step_sarsa,n,10.000,0.500,77,175.000,33.000,258.170
277,n_step_sarsa,n,10.000,0.500,78,72.667,37.000,76.055
278,n_step_sarsa,n,10.000,0.500,79,32.667,20.000,21.939
279,n_step_sarsa,n,10.000,0.500,80,59.333,67.000,36.116
280,n_step_sarsa,n,10.000,0.500,81,53.333,42.000,38.280
281,n_step_sarsa,n,10.000,0.500,82,35.333,41.000,14.364
282,n_step_sarsa,n,10.000,0.500,83,27.667,27.000,9.018
283,n_step_sarsa,n,10.000,0.500,84,23.000,24.000,3.606
284,n_step_sarsa,n,10.000,0.500,85,26.667,23.000,10.970
285,n_step_sarsa,n,10.000,0.500,86,23.333,23.000,3.512
286,n_step_sarsa,n,10.000,0.500,87,40.667,46.000,16.653
287,n_step_sarsa,n,10.000,0.500,88,35.667,19.000,29.738
288,n_step_sarsa,n,10.000,0.500,89,33.333,27.000,17.388
289,n_step_sarsa,n,10.000,0.500,90,30.333,34.000,8.145
290,n_step_sarsa,n,10.000,0.500,91,33.000,38.000,13.229
291,n_step_sarsa,n,10.000,0.500,92,32.667,24.000,17.673
292,n_step_sarsa,n,10.000,0.500,93,41.667,22.000,34.933
293,n_step_sarsa,n,10.000,0.500,94,32.333,25.000,18.148
294,n_step_sarsa,n,10.000,0.500,95,21.000,22.000,1.732
295,n_step_sarsa,n,10.000,0.500,96,28.667,27.000,8.622
