family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,25,24
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,26,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,27,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,28,22
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,29,24
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,30,26
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,31,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,32,246
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,33,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,34,30
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,35,44
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,36,20
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,37,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,38,24
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,39,66
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,40,124
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,41,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,42,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,43,53
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,44,24
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,45,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,46,21
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,47,21
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,48,48
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,49,20
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,50,38
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,51,30
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,52,75
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,53,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,54,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,55,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,56,31
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,57,77
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,58,35
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,59,34
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,60,21
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,61,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,62,20
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,63,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,64,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,65,23
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,66,21
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,67,29
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,68,37
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,69,23
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,70,23
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,71,21
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,72,20
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,73,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,74,354
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,75,52
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,76,97
